,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,uvw2_resid_frac,uvw2_saturated,uvw2_sss,uvw2_edge,uvm2_resid_frac,uvm2_saturated,uvm2_sss,uvm2_edge,uvw1_resid_frac,uvw1_saturated,uvw1_sss,uvw1_edge,mcps_flag,uvw2_key,uvw2_pix_x,uvw2_pix_y,uvm2_key,uvm2_pix_x,uvm2_pix_y,uvw1_key,uvw1_pix_x,uvw1_pix_y,Separation_in_as
48639,lmc-obs45446-200,45446,86.85947999999998,-69.09488,18.796180725097656,0.1989230215549469,18.686988830566406,0.2284162789583206,18.857845306396484,0.2182225883007049,18.802,0.0969999999999999,18.921,0.046,18.905,0.047,18.956,0.073,,,,,,,0.1074351033204864,0.0,1.0,1.0,0.1649616911317304,0.0,1.0,1.0,0.1228929039035801,0.0,1.0,1.0,10.0,2247.0,825.1691462046275,867.8549862227118,2207.0,822.7799440842497,857.2009122670828,2208.0,822.6666091191659,857.7623995752174,27.600914249777535
48646,lmc-obs45446-207,45446,86.86770000000004,-69.09447,16.617315292358402,0.061636708676815,16.65536117553711,0.0723450928926467,16.674043655395508,0.0612809881567955,17.267,0.059,17.639,0.038,17.671,0.036,17.820999999999994,0.1009999999999999,,,,,,,0.0651720356712591,0.0,1.0,1.0,0.0988179473649338,0.0,1.0,1.0,0.0915776073102705,0.0,1.0,1.0,10.0,2299.0,814.6633660162831,869.3382839669217,2259.0,812.2674328213202,858.6808993200855,2260.0,812.1604979429027,859.2433603187003,27.49741390596372
48651,lmc-obs45446-212,45446,86.872215,-69.09694,19.001840591430664,0.2349268049001693,18.896358489990234,0.2646036148071289,18.85855293273925,0.2213832288980484,18.774,0.076,18.792,0.045,18.643,0.042,18.612,0.059,,,,,,,0.2347538735419417,0.0,1.0,1.0,0.5348951197806134,0.0,1.0,1.0,0.5232967044659383,0.0,1.0,1.0,10.0,2335.0,808.887316414137,860.5067212234694,2295.0,806.4830859482382,849.8321710405539,2296.0,806.3758619778747,850.4001746398994,19.875928066174353
48653,lmc-obs45446-214,45446,86.87454000000002,-69.09908,14.106515884399414,0.0432067215442657,13.961299896240234,0.0439926050603389,14.01658821105957,0.042692519724369,14.550999999999998,0.049,14.970999999999998,0.03,15.003,0.0289999999999999,15.108,0.04,,,,,,,0.0782506308562409,0.0,1.0,1.0,0.0492992469518089,0.0,1.0,1.0,0.0510609456280339,0.0,1.0,1.0,10.0,2357.0,805.9117664856294,852.8517930746094,2316.0,803.5018356804869,842.163762770712,2317.0,803.3932441040006,842.7362472981462,14.809208293550027
48657,lmc-obs45446-218,45446,86.87736,-69.10016,17.75370216369629,0.1019671857357025,17.958812713623047,0.1399816125631332,17.944353103637695,0.1164827197790146,18.827,0.075,19.202,0.143,19.245,0.068,19.397,0.091,,,,,,,2.429556306152437,0.0,1.0,1.0,2.4812218818215164,0.0,1.0,1.0,1.9143819438535112,0.0,1.0,1.0,10.0,2375.0,802.3059887488478,848.9911679302468,2334.0,799.8918005107602,838.2953921699598,2335.0,799.7836799265058,838.8705061965593,15.356640976101145
48667,lmc-obs45446-228,45446,86.887725,-69.1089,,,18.950063705444336,0.2813320159912109,19.026391983032227,0.2585825324058533,18.945,0.089,18.98,0.07,18.902,0.042,18.967,0.074,,,,,,,,,,,0.171331904520562,0.0,1.0,1.0,0.0999844168694325,0.0,1.0,1.0,10.0,,,,2418.0,786.6124554790457,806.9765112465317,2419.0,786.4994160878557,807.5703725405052,36.432016045005376
49292,lmc-obs45446-853,45446,86.86216499999998,-69.11065,19.22784423828125,0.2792871296405792,,,19.02267074584961,0.2490881830453873,18.979,0.107,19.387,0.152,19.167,0.044,19.126,0.078,,,,,,,0.127550406863684,0.0,1.0,1.0,,,,,0.0221820853918556,0.0,1.0,1.0,10.0,2265.0,821.695979735074,811.4158945480686,,,,2226.0,819.1430789505807,801.2675056741623,31.328238043372153
