,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,uvw2_resid_frac,uvw2_saturated,uvw2_sss,uvw2_edge,uvm2_resid_frac,uvm2_saturated,uvm2_sss,uvm2_edge,uvw1_resid_frac,uvw1_saturated,uvw1_sss,uvw1_edge,mcps_flag,uvw2_key,uvw2_pix_x,uvw2_pix_y,uvm2_key,uvm2_pix_x,uvm2_pix_y,uvw1_key,uvw1_pix_x,uvw1_pix_y,Separation_in_as
268975,lmc-obs45516-4142,45516,81.97425,-69.99535,16.286022186279293,0.0840659141540527,16.169246673583984,0.0939393416047096,16.290802001953125,0.088774174451828,16.552,0.043,16.916,0.045,17.028,0.059,17.012999999999998,0.073,,,,,,,0.0793402989198388,0.0,1.0,1.0,0.0909600977284679,0.0,1.0,1.0,0.0431520232538311,0.0,1.0,1.0,10.0,31539.0,542.6155516530426,164.92139039445655,31559.0,535.1849462798134,157.12774485182698,31589.0,535.4458085709356,156.61767937012257,38.02434064027463
268979,lmc-obs45516-4146,45516,81.97482,-69.99849,15.603363990783691,0.063423179090023,15.573405265808104,0.0721124857664108,15.60417366027832,0.0650890991091728,15.696,0.0409999999999999,16.102999999999998,0.043,16.03,0.114,16.148,0.087,,,,,,,0.0730075199282429,0.0,1.0,1.0,0.0990701480975934,0.0,1.0,1.0,0.0377006634173568,0.0,1.0,1.0,10.0,31567.0,541.9111458019876,153.6535066532607,31587.0,534.4825260266695,145.87400654551055,31617.0,534.7478623044914,145.36820950825538,37.38154906593476
268985,lmc-obs45516-4152,45516,81.97554000000001,-69.99365,18.009180068969727,0.2639738619327545,17.762699127197266,0.2637026607990265,18.182132720947266,0.3451553583145141,18.077,0.057,18.264,0.122,18.233,0.074,0.0,0.0,,,,,,,0.1410459770067297,0.0,1.0,1.0,0.0138331278284306,0.0,1.0,1.0,0.0196841151372487,0.0,1.0,1.0,0.0,31614.0,541.0370888767676,171.0179081045313,31634.0,533.6049846965968,163.21809735910554,31664.0,533.864015705987,162.70666686514426,37.85968197345895
269001,lmc-obs45516-4168,45516,81.97759500000002,-69.99193000000001,16.983942031860348,0.1256543397903442,17.10976219177246,0.1652093976736068,16.85301399230957,0.1245195642113685,16.762,0.065,16.942,0.05,16.573,0.072,15.927,0.071,,,,,,,0.0857910310364481,0.0,1.0,1.0,0.1191890139426966,0.0,1.0,1.0,0.0891953818719352,0.0,1.0,1.0,10.0,31718.0,538.5203804801384,177.18425217855545,31738.0,531.0865762045238,169.37891318429038,31768.0,531.3440447344551,168.86652720400983,37.938364692612296
269031,lmc-obs45516-4198,45516,81.983265,-69.99046,,,17.737957000732422,0.263245016336441,18.025882720947266,0.3052259981632233,17.986,0.063,18.11,0.092,18.079,0.155,18.085,0.085,,,,,,,,,,,0.097786441914115,0.0,1.0,1.0,0.1023224663157203,0.0,1.0,1.0,10.0,,,,32016.0,524.1339652893337,174.63785086015903,32046.0,524.3914957450893,174.12694915119835,35.16141291851988
269042,lmc-obs45516-4209,45516,81.985065,-69.99028,16.898557662963867,0.1195407956838607,16.923198699951172,0.1475355774164199,17.031888961791992,0.1418963521718979,17.47,0.152,17.666,0.139,16.622,0.138,16.901,0.059,,,,,,,0.0572282894510492,0.0,1.0,1.0,0.1140554291780697,0.0,1.0,1.0,0.0789794854077514,0.0,1.0,1.0,20.0,32092.0,529.3632976939168,183.08579265108557,32109.0,521.9264541789679,175.2798912017326,32139.0,522.184381375271,174.76982649509048,33.96970373330238
269059,lmc-obs45516-4226,45516,81.98682,-69.99036,17.16611099243164,0.1424274444580078,17.19059181213379,0.1770023107528686,17.047035217285153,0.1436890214681625,17.074,0.0559999999999999,17.172,0.084,16.919,0.1689999999999999,17.041,0.065,,,,,,,0.0669613096920105,0.0,1.0,1.0,0.0371481341395302,0.0,1.0,1.0,0.0516203753456994,0.0,1.0,1.0,10.0,32192.0,527.2112627345639,182.79422797345,32208.0,519.7740158655805,174.9901709004375,32238.0,520.0326612302375,174.48125538564392,32.2478287343344
269076,lmc-obs45516-4243,45516,81.98933999999997,-69.99438,17.480710983276367,0.1761861443519592,18.101112365722656,0.3428192138671875,18.068965911865234,0.3139174580574036,18.209,0.055,18.481,0.125,18.541,0.141,18.868,0.163,,,,,,,0.2359772313497795,0.0,1.0,1.0,0.4337945731411594,0.0,1.0,1.0,0.1634551500047311,0.0,1.0,1.0,10.0,32324.0,524.1179445304716,168.36364505235,32341.0,516.6826343552597,160.57896189325126,32371.0,516.9474331622718,160.07678839456747,21.049681554476184
269094,lmc-obs45516-4261,45516,81.99277500000002,-69.9916,16.682079315185547,0.1046500951051712,16.528905868530273,0.1154800131916999,17.073036193847653,0.1463804244995117,16.899,0.048,17.226,0.0819999999999999,17.104,0.124,17.221,0.0969999999999999,,,,,,,0.0933820956877926,0.0,1.0,1.0,0.0881978016239497,0.0,1.0,1.0,0.1396605270845084,0.0,1.0,1.0,10.0,32518.0,519.9085792437958,178.32915332504226,32535.0,512.4705752468975,170.53554505329157,32565.0,512.732907432446,170.03182284901524,24.071967438706558
269110,lmc-obs45516-4277,45516,81.994845,-69.98933000000001,17.535310745239258,0.1856010407209396,17.68073272705078,0.2579216659069061,17.385656356811527,0.1868156492710112,17.555999999999994,0.062,18.112,0.083,18.183,0.104,18.143,0.078,,,,,,,0.0445973867032133,0.0,1.0,1.0,0.0569225879868761,0.0,1.0,1.0,-0.0559773569358547,0.0,1.0,1.0,10.0,32638.0,517.3715467961313,186.4682302078536,32655.0,509.9315702064959,178.66682281163986,32685.0,510.1916889649067,178.16134582549512,29.787397794756846
