,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,uvw2_resid_frac,uvw2_saturated,uvw2_sss,uvw2_edge,uvm2_resid_frac,uvm2_saturated,uvm2_sss,uvm2_edge,uvw1_resid_frac,uvw1_saturated,uvw1_sss,uvw1_edge,mcps_flag,uvw2_key,uvw2_pix_x,uvw2_pix_y,uvm2_key,uvm2_pix_x,uvm2_pix_y,uvw1_key,uvw1_pix_x,uvw1_pix_y,Separation_in_as
67753,smc-obs40427-876,40427,15.214725,-72.6184,16.510784149169922,0.0881750211119651,16.389142990112305,0.0985605120658874,16.83234977722168,0.1101171299815178,17.369,0.043,18.164,0.0289999999999999,18.198,0.046,18.369,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.093456949068024,0.0,1.0,1.0,0.0702498207851575,0.0,1.0,1.0,0.1831149137530506,0.0,1.0,1.0,10.0,8021.0,749.8897788729855,424.9144346399872,7994.0,745.0549736897067,430.4605522318933,8027.0,744.3823913280211,430.0184440227572,37.35872108562308
67759,smc-obs40427-882,40427,15.216345,-72.62143,17.763931274414062,0.1850862056016922,17.77685546875,0.2256391942501068,18.295936584472656,0.3089900016784668,18.285,0.055,18.947,0.076,19.033,0.074,19.028,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.09475956611472,0.0,1.0,1.0,0.2423936208317928,0.0,1.0,1.0,0.1804655915276254,0.0,1.0,1.0,10.0,8067.0,748.1293455993115,414.0564689651834,8041.0,743.2950587945735,419.5996524965103,8074.0,742.6214106184071,419.1621196288377,35.02291954169338
67764,smc-obs40427-887,40427,15.2199,-72.61739,17.427789688110348,0.149859994649887,17.659744262695312,0.2075683623552322,17.652381896972656,0.1871897727251052,17.765,0.042,18.387,0.053,18.31,0.04,18.429,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.1391472915011821,0.0,1.0,1.0,0.2822989866610824,0.0,1.0,1.0,0.1712209143474353,0.0,1.0,1.0,10.0,8136.0,744.3607995072048,428.5476305272202,8108.0,739.5218978686299,434.0941572937869,8141.0,738.853267777471,433.65109181202246,32.969683082746855
67766,smc-obs40427-889,40427,15.22089,-72.62614,17.749879837036133,0.1838068068027496,17.37712287902832,0.1719778925180435,17.797222137451172,0.2123876214027404,18.175,0.049,18.823,0.035,18.875,0.0409999999999999,18.913,0.068,0.0,0.0,0.0,0.0,0.0,0.0,-0.0961349412647672,0.0,1.0,1.0,0.1147033386654025,0.0,1.0,1.0,-0.0436684616276545,0.0,1.0,1.0,10.0,8158.0,743.2263457495732,397.1823470047718,8130.0,738.3912834990382,402.72039617274766,8163.0,737.7172912785536,402.2901938702246,36.23599108817266
67771,smc-obs40427-894,40427,15.222015,-72.61809000000002,17.417451858520508,0.1486549377441406,17.305870056152347,0.1645772606134414,17.577215194702152,0.1781414151191711,17.77,0.065,18.679,0.084,18.296,0.057,19.106,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.1380252367901236,0.0,1.0,1.0,0.219636274137117,0.0,1.0,1.0,0.0889133733845655,0.0,1.0,1.0,0.0,8179.0,742.0914250838907,426.0433275478623,8151.0,737.2514509384334,431.5890433206978,8184.0,736.5836728993149,431.1472175699352,30.02069794910774
67781,smc-obs40427-904,40427,15.224925,-72.6255,15.070362091064451,0.0545889511704444,15.173460960388184,0.0623222216963768,15.168695449829102,0.056891094893217,15.727,0.033,16.8,0.0289999999999999,16.785999999999998,0.081,16.570999999999998,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0657866863357175,0.0,1.0,1.0,0.0801372196963297,0.0,1.0,1.0,0.0340159282049329,0.0,1.0,1.0,20.0,8254.0,738.915751938409,399.4860843129686,8225.0,734.0774673898967,405.0244108487552,8258.0,733.4064910059817,404.5937342143925,31.35796121613243
67798,smc-obs40427-921,40427,15.2319,-72.61991,15.053182601928713,0.0544988177716732,15.157520294189451,0.0621280819177627,15.307136535644531,0.0588572844862937,15.986,0.044,16.93,0.049,17.023,0.035,17.221,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.041763565217302,0.0,1.0,1.0,0.0968035733279692,0.0,1.0,1.0,0.0451268781859124,0.0,1.0,1.0,10.0,8416.0,731.4987483532138,419.5414641776526,8385.0,726.6530010693874,425.084588459417,8418.0,725.9902074435411,424.6464592487061,18.24591896155027
67799,smc-obs40427-922,40427,15.232395,-72.61639,17.808748245239258,0.2008498460054397,18.33889579772949,0.3445238471031189,17.626432418823242,0.1844894587993621,18.657,0.0819999999999999,19.129,0.038,19.205,0.062,19.33,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.3597375777922165,0.0,1.0,1.0,0.6859995270593818,0.0,1.0,1.0,0.1244934050486308,0.0,1.0,1.0,10.0,8428.0,730.9967674812162,432.161099478041,8397.0,726.1490913689281,437.7073007947245,8430.0,725.4889521144671,437.2639965512958,22.946505013212594
67803,smc-obs40427-926,40427,15.233339999999998,-72.61708,14.97323989868164,0.053755946457386,14.953059196472168,0.0589059293270111,15.190384864807127,0.0570982173085212,15.899,0.033,16.844,0.05,16.986,0.036,17.19,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0485792704850439,0.0,1.0,1.0,0.0586804014817669,0.0,1.0,1.0,0.0304837129974764,0.0,1.0,1.0,10.0,8459.0,729.9799761347563,429.68967459598434,8427.0,725.1319993069394,435.2351914064959,8460.0,724.4719907568559,434.7930081767356,20.61099500988469
67806,smc-obs40427-929,40427,15.234434999999998,-72.61459,18.33262634277344,0.3061710298061371,18.296579360961918,0.3348943889141083,,,,,,,,,,,,,,,,,0.1098063714747458,0.0,1.0,1.0,0.338834621666632,0.0,1.0,1.0,,,,,,8477.0,728.8273915295018,438.6181006187077,8444.0,723.9775987316136,444.1656053874252,,,,26.21009352505682
