,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,uvw2_resid_frac,uvw2_saturated,uvw2_sss,uvw2_edge,uvm2_resid_frac,uvm2_saturated,uvm2_sss,uvm2_edge,uvw1_resid_frac,uvw1_saturated,uvw1_sss,uvw1_edge,mcps_flag,uvw2_key,uvw2_pix_x,uvw2_pix_y,uvm2_key,uvm2_pix_x,uvm2_pix_y,uvw1_key,uvw1_pix_x,uvw1_pix_y,Separation_in_as
420822,lmc-obs45578-688,45578,76.166625,-69.04079,17.277904510498047,0.1493623405694961,17.432653427124027,0.1964263617992401,17.196800231933597,0.161519780755043,17.274,0.126,17.396,0.045,17.064,0.0579999999999999,17.352999999999998,0.053,,,,,,,0.1003034541126358,0.0,1.0,1.0,0.1347633917142347,0.0,1.0,1.0,0.1013653212870127,0.0,1.0,1.0,10.0,11015.0,948.2731543576556,771.4175375031558,10986.0,941.243151564373,762.1988107524934,10952.0,942.7943115528218,762.1107365752559,36.15856958583033
420856,lmc-obs45578-722,45578,76.17303000000001,-69.04466,17.206254959106445,0.1425531804561615,17.323997497558597,0.182801678776741,17.278297424316403,0.1716618090867996,17.33,0.066,17.736,0.063,17.672,0.075,17.804000000000006,0.055,,,,,,,0.0853247122799956,0.0,1.0,1.0,0.086881105968015,0.0,1.0,1.0,0.0960308374236224,0.0,1.0,1.0,10.0,11312.0,939.9931282606548,757.5988498640196,11280.0,932.9605963671356,748.3674249848527,11246.0,934.5117906191156,748.2869114067464,32.239937959434485
420857,lmc-obs45578-723,45578,76.17360000000002,-69.03876,18.317541122436523,0.3292277455329895,18.139753341674805,0.3350731432437897,17.969730377197266,0.2924236059188843,18.111,0.094,18.498,0.05,18.176,0.154,18.334,0.107,,,,,,,0.1129567156808893,0.0,1.0,1.0,0.1517886886560061,0.0,1.0,1.0,0.0296455244231691,0.0,1.0,1.0,10.0,11336.0,939.3656941620468,778.7260096990777,11304.0,932.3302216003632,769.5119186815649,11270.0,933.887515943778,769.4209828147841,27.553540507039656
420872,lmc-obs45578-738,45578,76.176045,-69.04822,17.368459701538086,0.1586172431707382,17.311647415161133,0.1814904659986496,17.488285064697266,0.1991469264030456,15.913,0.075,20.787,0.4539999999999999,18.399,0.223,18.631,0.108,,,,,,,0.0612573007631715,0.0,1.0,1.0,0.1427867837159093,0.0,1.0,1.0,0.1033625735234492,0.0,1.0,1.0,0.0,11459.0,936.0663421910948,744.8687748555055,11425.0,929.0334177112054,735.6272739974022,11392.0,930.5830050890012,735.5533236981712,37.677892793219925
420901,lmc-obs45578-767,45578,76.18237500000002,-69.03877,17.358390808105472,0.1580627113580703,17.451351165771484,0.199566587805748,17.605199813842773,0.2195572555065155,17.545,0.066,17.91,0.034,17.819000000000006,0.048,18.003,0.072,,,,,,,0.0545492961244952,0.0,1.0,1.0,0.1606662741865568,0.0,1.0,1.0,0.0896249895330768,0.0,1.0,1.0,10.0,11727.0,928.113632761028,778.7398724674413,11692.0,921.0725387480826,769.5239053168973,11659.0,922.6350178843747,769.4339943990559,16.5532397993664
420902,lmc-obs45578-768,45578,76.18245,-69.04016,17.499996185302734,0.1748367100954055,17.585906982421875,0.2199027240276336,17.776382446289062,0.2516171336174011,18.012999999999995,0.069,18.226,0.049,18.383,0.099,18.58,0.07,,,,,,,0.0710943225583269,0.0,1.0,1.0,0.0378329291595718,0.0,1.0,1.0,0.1634825556091145,0.0,1.0,1.0,10.0,11729.0,927.9937986704184,773.7639650058272,11694.0,920.953315692713,764.5436211341785,11661.0,922.514469334842,764.4562362181998,15.704509923019378
420903,lmc-obs45578-769,45578,76.182525,-69.04706,17.324914932250973,0.1535745710134506,17.06044578552246,0.1534799337387085,17.470209121704098,0.1995072364807129,17.697,0.073,18.263,0.039,18.176,0.053,18.509,0.085,,,,,,,0.0834035489598101,0.0,1.0,1.0,0.1406023519303233,0.0,1.0,1.0,0.0441555202266206,0.0,1.0,1.0,10.0,11732.0,927.780345293194,749.0591768555847,11697.0,920.7429647798816,739.819176732609,11664.0,922.2974980572392,739.7440500136273,29.39614598600354
420905,lmc-obs45578-771,45578,76.18266,-69.04369,17.240877151489258,0.1456070244312286,17.120296478271484,0.1594221442937851,17.293487548828125,0.1754433661699295,17.262,0.067,17.909000000000006,0.147,17.601,0.094,17.986,0.055,,,,,,,0.0490322000288914,0.0,1.0,1.0,0.1825756288094997,0.0,1.0,1.0,0.0655163442382676,0.0,1.0,1.0,10.0,11741.0,927.6645292910774,761.126632271909,11706.0,920.6255525857476,751.8957783496312,11673.0,922.1833928728668,751.8147373424716,20.037359327813732
420906,lmc-obs45578-772,45578,76.18289999999998,-69.03152,16.049182891845707,0.0749812424182891,16.134212493896484,0.0907231047749519,16.194269180297848,0.0876575037837028,16.622,0.067,17.160999999999998,0.033,17.090999999999998,0.054,17.459,0.21,,,,,,,0.0585120160919971,0.0,1.0,1.0,0.0987400456611294,0.0,1.0,1.0,0.0658565123885957,0.0,1.0,1.0,0.0,11747.0,927.5638545726392,804.6955921218982,11712.0,920.5188552389708,795.5044821915106,11679.0,922.0889376761196,795.4012290743117,34.52297969201083
420927,lmc-obs45578-793,45578,76.186545,-69.04642,17.195981979370114,0.1404871344566345,17.114978790283207,0.1590707004070282,17.215009689331055,0.1663665771484375,17.218,0.083,17.359,0.036,17.320999999999998,0.061,17.37,0.07,,,,,,,0.0663483322579488,0.0,1.0,1.0,0.1019558316858558,0.0,1.0,1.0,0.0687798769273705,0.0,1.0,1.0,10.0,11902.0,922.638203406378,751.3730774110901,11867.0,915.5981216491592,742.1339198052934,11834.0,917.1556486036336,742.0582012696173,24.897689341880252
