,galaxy,field,sub_field_index,ra_1,ra_2,dec_1,dec_2
58,lmc,LMC107,3,5:14:01.49,5:15:02.72,-66:52:03.0,-66:50:09.1
59,lmc,LMC107,4,5:13:59.99,5:15:02.13,-66:40:31.6,-66:41:23.2
60,lmc,LMC107,5,5:10:59.98,5:12:00.11,-66:42:30.2,-66:39:30.3
61,lmc,LMC107,6,5:10:58.69,5:12:00.55,-66:50:38.5,-66:51:47.1
62,lmc,LMC107,7,5:10:58.37,5:11:59.63,-66:57:59.5,-66:55:30.1
63,lmc,LMC107,8,5:10:58.46,5:11:59.78,-67:07:52.8,-67:07:06.1
64,lmc,LMC108,1,5:14:02.68,5:15:06.89,-67:46:01.5,-67:37:40.6
65,lmc,LMC108,2,5:14:02.73,5:15:06.76,-67:37:42.2,-67:36:41.6
66,lmc,LMC108,3,5:14:01.87,5:15:04.27,-67:27:02.9,-67:22:22.3
67,lmc,LMC108,4,5:14:02.28,5:15:03.64,-67:12:49.9,-67:12:07.2
68,lmc,LMC108,5,5:10:51.86,5:11:58.12,-67:15:42.9,-67:19:14.8
69,lmc,LMC108,6,5:10:55.72,5:11:58.40,-67:23:08.8,-67:19:46.9
70,lmc,LMC108,7,5:10:55.61,5:11:59.55,-67:33:07.6,-67:33:33.1
71,lmc,LMC108,8,5:10:54.83,5:11:57.76,-67:39:44.8,-67:43:27.7
72,lmc,LMC109,1,5:13:57.57,5:15:03.31,-68:19:44.7,-68:21:11.8
73,lmc,LMC109,2,5:13:57.24,5:15:02.89,-68:09:00.9,-68:12:57.8
74,lmc,LMC109,3,5:13:56.51,5:15:01.57,-68:00:28.8,-68:01:30.3
75,lmc,LMC109,4,5:13:56.64,5:14:58.93,-67:53:34.4,-67:50:54.8
76,lmc,LMC109,5,5:10:46.30,5:11:51.14,-67:52:18.1,-67:53:32.9
77,lmc,LMC109,6,5:10:45.46,5:11:49.76,-67:59:52.1,-68:00:46.5
78,lmc,LMC109,7,5:10:45.37,5:11:49.82,-68:12:51.8,-68:09:17.4
79,lmc,LMC109,8,5:10:43.74,5:11:50.03,-68:21:43.1,-68:18:05.6
80,lmc,LMC110,1,5:13:53.70,5:15:00.08,-68:54:30.1,-68:54:43.0
81,lmc,LMC110,2,5:13:52.92,5:14:58.61,-68:47:01.3,-68:47:31.3
82,lmc,LMC110,3,5:13:51.48,5:14:58.40,-68:36:42.0,-68:37:12.1
83,lmc,LMC110,4,5:13:50.63,5:14:58.03,-68:28:39.2,-68:26:09.9
84,lmc,LMC110,5,5:10:35.64,5:11:42.83,-68:29:12.4,-68:26:23.1
85,lmc,LMC110,6,5:10:35.22,5:11:41.47,-68:35:09.2,-68:39:24.2
86,lmc,LMC110,7,5:10:34.35,5:11:41.85,-68:48:31.7,-68:48:06.4
87,lmc,LMC110,8,5:10:33.92,5:11:42.00,-68:57:26.4,-68:54:01.4
88,lmc,LMC111,1,5:13:44.64,5:14:53.09,-69:29:41.4,-69:31:03.9
89,lmc,LMC111,2,5:13:43.68,5:14:52.14,-69:19:59.2,-69:20:23.3
90,lmc,LMC111,3,5:13:42.13,5:14:51.58,-69:10:46.3,-69:13:30.7
91,lmc,LMC111,4,5:13:41.53,5:14:50.42,-69:03:57.2,-69:03:24.0
92,lmc,LMC111,5,5:10:21.40,5:11:29.26,-69:04:36.2,-69:03:07.2
93,lmc,LMC111,6,5:10:20.83,5:11:29.65,-69:10:54.9,-69:11:30.5
94,lmc,LMC111,7,5:10:21.17,5:11:29.64,-69:19:42.8,-69:21:17.4
95,lmc,LMC111,8,5:10:20.17,5:11:28.48,-69:28:43.6,-69:32:31.7
96,lmc,LMC112,1,5:13:37.89,5:14:49.62,-70:04:46.2,-70:07:56.2
97,lmc,LMC112,2,5:13:37.71,5:14:49.25,-69:59:04.1,-69:56:36.3
98,lmc,LMC112,3,5:13:36.36,5:14:47.38,-69:47:34.2,-69:45:59.5
99,lmc,LMC112,4,5:13:37.56,5:14:46.45,-69:37:39.3,-69:39:49.0
100,lmc,LMC112,5,5:10:09.14,5:11:19.83,-69:40:26.6,-69:41:16.0
101,lmc,LMC112,6,5:10:10.05,5:11:20.64,-69:47:41.7,-69:46:26.7
102,lmc,LMC112,7,5:10:09.74,5:11:18.58,-69:58:13.0,-69:57:08.2
103,lmc,LMC112,8,5:10:08.22,5:11:19.15,-70:08:01.0,-70:05:21.1
104,lmc,LMC113,1,5:13:19.92,5:14:32.98,-70:42:14.5,-70:40:21.3
105,lmc,LMC113,2,5:13:19.62,5:14:31.52,-70:30:47.9,-70:32:20.4
106,lmc,LMC113,3,5:13:17.39,5:14:29.82,-70:25:31.8,-70:24:16.0
107,lmc,LMC113,4,5:13:16.12,5:14:28.44,-70:14:46.4,-70:15:35.1
108,lmc,LMC113,5,5:09:45.28,5:10:57.71,-70:16:34.0,-70:14:09.8
109,lmc,LMC113,6,5:09:45.67,5:10:56.64,-70:22:24.0,-70:24:36.2
110,lmc,LMC113,7,5:09:43.28,5:10:57.64,-70:32:23.5,-70:31:21.9
111,lmc,LMC113,8,5:09:43.88,5:10:55.49,-70:42:10.2,-70:42:32.0
112,lmc,LMC114,1,5:13:17.80,5:14:33.27,-71:14:28.3,-71:18:00.9
113,lmc,LMC114,2,5:13:16.91,5:14:31.10,-71:06:29.6,-71:09:05.7
114,lmc,LMC114,3,5:13:14.18,5:14:28.47,-70:55:13.2,-70:56:57.5
115,lmc,LMC114,4,5:13:15.05,5:14:27.94,-70:50:10.4,-70:49:50.6
116,lmc,LMC114,5,5:09:37.72,5:10:49.52,-70:46:20.8,-70:48:42.7
117,lmc,LMC114,6,5:09:35.41,5:10:49.06,-70:52:38.5,-70:56:34.8
118,lmc,LMC114,7,5:09:36.28,5:10:50.07,-71:01:39.6,-71:08:10.0
119,lmc,LMC114,8,5:09:34.83,5:10:48.84,-71:13:47.8,-71:11:02.0
120,lmc,LMC115,1,5:08:12.95,5:09:15.28,-67:09:36.9,-67:10:51.8
121,lmc,LMC115,2,5:08:12.51,5:09:14.00,-67:01:37.1,-66:55:05.5
122,lmc,LMC115,3,5:08:10.85,5:09:13.12,-66:45:52.9,-66:46:58.0
