,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,uvw2_resid_frac,uvw2_saturated,uvw2_sss,uvw2_edge,uvm2_resid_frac,uvm2_saturated,uvm2_sss,uvm2_edge,uvw1_resid_frac,uvw1_saturated,uvw1_sss,uvw1_edge,mcps_flag,uvw2_key,uvw2_pix_x,uvw2_pix_y,uvm2_key,uvm2_pix_x,uvm2_pix_y,uvw1_key,uvw1_pix_x,uvw1_pix_y,Separation_in_as
95809,smc-obs40431-6570,40431,15.96879,-72.27808,18.607295989990234,0.2367677688598633,18.496286392211918,0.2563108503818512,18.66327476501465,0.2596679925918579,18.446,0.073,19.118,0.032,19.097,0.038,19.142,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0212873381556411,0.0,1.0,-99.0,0.1604607970352131,0.0,1.0,1.0,0.0942622614006459,0.0,1.0,-99.0,10.0,25350.0,148.57679395453874,355.45949000431506,25053.0,148.6347467194655,346.26200747999536,25121.0,147.31432463460868,347.1897027478057,36.41014477881617
95812,smc-obs40431-6573,40431,15.968865,-72.27897,17.245429992675778,0.0917643457651138,17.47035026550293,0.1235753148794174,17.521228790283207,0.1107807233929634,18.058,0.152,18.745,0.183,18.527,0.038,18.736,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0507137372093986,0.0,1.0,-99.0,0.1402881627882958,0.0,1.0,-99.0,0.0866042558090645,0.0,1.0,-99.0,10.0,25353.0,148.51602320296055,352.26839692083536,25056.0,148.57504782788976,343.0696960109357,25124.0,147.2539974246064,344.0004913064117,36.3287427091106
97072,smc-obs40431-7833,40431,15.969,-72.27465,18.746746063232425,0.2652643322944641,,,18.648923873901367,0.2553092837333679,18.564,0.0559999999999999,19.182,0.035,18.99,0.093,19.164,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.1078671451428565,0.0,1.0,1.0,,,,,0.1786870442981811,0.0,1.0,1.0,0.0,25358.0,148.2660470983887,367.7527176288513,,,,25129.0,147.00152846550932,359.47617305955134,38.7407569730137
216268,smc-obs40454-3919,40454,15.96879,-72.27808,18.600006103515625,0.2330924272537231,18.284788131713867,0.2269665300846099,,,,,,,,,,,,,,,,,0.0663001939838144,0.0,1.0,1.0,0.1522976779627659,0.0,1.0,1.0,,,,,,14429.0,788.2423597078392,218.24571820401025,14242.0,785.1483520573605,205.4176635931861,,,,36.41014477881617
216272,smc-obs40454-3923,40454,15.968865,-72.27897,17.331413269042972,0.0961281731724739,17.575368881225586,0.1366090029478073,17.586589813232422,0.2521851658821106,18.058,0.152,18.745,0.183,18.527,0.038,18.736,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0520203537074034,0.0,1.0,1.0,0.0966188012591863,0.0,1.0,1.0,0.3633109473786896,0.0,1.0,1.0,10.0,14434.0,788.1506306760353,215.04766306429065,14247.0,785.0560558038544,202.2275589405872,14227.0,785.7873128322606,201.9196770177464,36.3287427091106
216275,smc-obs40454-3926,40454,15.969,-72.27465,18.774354934692383,0.2684493064880371,18.731143951416016,0.3222650587558746,,,,,,,,,,,,,,,,,0.1078300450834346,0.0,1.0,1.0,0.1325775462281777,0.0,1.0,1.0,,,,,,14439.0,788.0502600536232,230.5721810302121,14252.0,784.9587501084852,217.71376147914657,,,,38.7407569730137
216312,smc-obs40454-3963,40454,15.971370000000002,-72.27911,18.3197078704834,0.1873657256364822,18.72407531738281,0.3210000693798065,,,,,,,,,,,,,,,,,0.0765964950326182,0.0,1.0,1.0,0.215530045175306,0.0,1.0,1.0,,,,,,14517.0,785.4115417407578,214.5542204875523,14329.0,782.3183817698085,201.73389724684608,,,,33.61469075901881
216504,smc-obs40454-4155,40454,15.9858,-72.26935999999998,17.875953674316406,0.1345775872468948,18.04451560974121,0.1899397075176239,,,,,,,,,,,,,,,,,0.0941617910645362,0.0,1.0,1.0,0.0679334116433388,0.0,1.0,1.0,,,,,,14974.0,769.7401163480396,249.64177188259768,14787.0,766.6617243873986,236.72897226407477,,,,37.44496500812039
216544,smc-obs40454-4195,40454,15.989595,-72.27371,17.797582626342773,0.127798318862915,18.131681442260746,0.2018373310565948,,,,,,,,,,,,,,,,,0.0398846231174975,0.0,1.0,1.0,0.1068381985437074,0.0,1.0,1.0,,,,,,15080.0,765.5484478761473,234.02493089678453,14893.0,762.4695501619568,221.14679575593823,,,,22.005175617717104
216575,smc-obs40454-4226,40454,15.992070000000002,-72.2821,16.652740478515625,0.0690951645374298,16.731451034545902,0.0839796662330627,16.949085235595707,0.1676993072032928,17.47,0.043,18.339,0.035,18.46,0.034,18.61,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.1560082218058686,0.0,1.0,1.0,0.1917799492275734,0.0,1.0,1.0,0.4383705399295068,0.0,1.0,1.0,10.0,15166.0,762.7603397835744,203.88327318233704,14978.0,759.67799680215,191.0787371588299,14958.0,760.4315312342787,190.75401389158768,16.855965948572734
