,ra,dec,photometry,distance_to_center
18258,8.098408307661582,-71.62638612794991,3139.2759531292886,116.39388396206277
18259,8.084974138958653,-71.62864423390249,3158.7364871625878,116.50352443774301
18260,8.071536793424116,-71.63090140748929,3201.3796827215306,116.61377197621643
18261,8.058096271384912,-71.6331576483331,3247.555491897771,116.72462485647586
18262,8.04465257316961,-71.6354129560567,3287.4535524032394,116.83608135457743
18263,8.031205699108028,-71.63766733028291,3329.1994807642095,116.94813974374831
18264,8.017755649531756,-71.6399207706346,3372.2481043783437,117.06079829448372
18265,8.00430242477384,-71.64217327673472,3393.5460820736407,117.17405527464787
18266,7.990846025168959,-71.64442484820606,3380.376287607075,117.28790894958455
18267,13.195307414518915,-70.65101458880191,2929.2717674848454,128.95766129148325
18268,12.669787690148747,-70.76207876967767,3114.2463857164416,122.63381621058853
18269,12.657495889227864,-70.76464422779759,3153.165602485485,122.49768787344314
18270,12.645200885445282,-70.76720888804624,3180.2681499686323,122.36208275146389
18271,12.632902678659054,-70.76977275004937,3178.2122321459483,122.22700259879946
18272,12.620601268728235,-70.7723358134327,3169.7176972002517,122.09244917056913
18273,12.608296655512978,-70.7748980778219,3160.9545341010935,121.95842422278955
18274,12.595988838874602,-70.7774595428426,3136.828920167196,121.82492951230445
18275,12.583677818675405,-70.78002020812042,3100.363994527701,121.69196679671316
18276,11.97651090197186,-70.90450531552895,2804.96263216262,115.8650678329242
18277,11.663764281085129,-70.9672637862978,2896.7400513587486,113.45186494502484
18278,11.651212683757494,-70.9697634013954,2886.8569004848346,113.36374680499462
18279,11.638657875719993,-70.97226218820143,2895.7332958991633,113.27628986838593
18280,11.626099856923371,-70.97476014633908,2922.4366142359777,113.18949567826333
18281,11.613538627319606,-70.9772572754317,2934.6508121873367,113.10336577074419
18282,11.600974186861825,-70.97975357510241,2931.774390433747,113.01790167490432
18283,11.588406535504355,-70.98224904497441,2925.3057720889537,112.9331049126403
18284,11.575835673202759,-70.98474368467093,2956.6154752796433,112.84897699856263
18285,8.983933690871993,-71.46879398198489,3322.8879827786295,110.79732307242918
18286,8.97071507142248,-71.47111317791251,3304.32293424359,110.86246037764244
18287,8.95749325866467,-71.47343146689998,3297.329873913725,110.92830593810443
18288,8.944268252825431,-71.475748848569,3314.792743323025,110.99485849523509
18289,8.931040054133302,-71.47806532254138,3342.9156075504125,111.06211677990436
18290,8.917808662818139,-71.48038088843886,3347.755990883358,111.13007951255851
18291,8.904574079111367,-71.48269554588326,3322.9238458571604,111.19874540331963
18292,8.891336303245865,-71.48500929449635,3305.915553433533,111.26811315210765
18293,8.878095335455757,-71.4873221339,3335.651654130753,111.33818144875147
18294,8.104666610476915,-71.61989822827508,3115.877744420978,116.5514287803515
18295,8.091237787223678,-71.62215675549672,3135.9723629529217,116.66021183336565
18296,8.077805788829298,-71.62441435084834,3162.210865878443,116.76960273693152
18297,8.064370615619435,-71.62667101395297,3199.9397017174597,116.87959978350082
18298,8.050932267921864,-71.62892674443354,3254.257329460525,116.99020126246346
